model_family,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,65,9,9,9,0.8783783783783784,0.8783783783783784,0.5,0.6891891891891893,0.8783783783783784,0.8783783783783784,"[[9, 9], [9, 65]]","{'NON_SIF_POTENTIAL': 18, 'SIF_POTENTIAL': 74}",0.49999999999999994,0.6,2,0.021739130434782608,0.9782608695652174,17,73,8
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,65,9,9,9,0.8783783783783784,0.8783783783783784,0.5,0.6891891891891893,0.8783783783783784,0.8783783783783784,"[[9, 9], [9, 65]]","{'NON_SIF_POTENTIAL': 18, 'SIF_POTENTIAL': 74}",0.44999999999999996,0.6499999999999999,2,0.021739130434782608,0.9782608695652174,17,73,8
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,64,9,9,10,0.8767123287671232,0.8648648648648649,0.5,0.6824324324324325,0.8707482993197279,0.8672086720867209,"[[9, 9], [10, 64]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.5499999999999998,0.6499999999999999,1,0.010869565217391304,0.9891304347826086,18,73,9
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,64,9,9,10,0.8767123287671232,0.8648648648648649,0.5,0.6824324324324325,0.8707482993197279,0.8672086720867209,"[[9, 9], [10, 64]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.4999999999999999,0.6999999999999998,3,0.03260869565217391,0.967391304347826,17,72,8
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,64,9,9,10,0.8767123287671232,0.8648648648648649,0.5,0.6824324324324325,0.8707482993197279,0.8672086720867209,"[[9, 9], [10, 64]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.5999999999999999,0.7,1,0.010869565217391304,0.9891304347826086,19,72,10
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,64,9,9,10,0.8767123287671232,0.8648648648648649,0.5,0.6824324324324325,0.8707482993197279,0.8672086720867209,"[[9, 9], [10, 64]]","{'NON_SIF_POTENTIAL': 19, 'SIF_POTENTIAL': 73}",0.5499999999999999,0.7499999999999999,6,0.06521739130434782,0.9347826086956522,18,68,9
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.7,63,9,9,11,0.875,0.8513513513513513,0.5,0.6756756756756757,0.863013698630137,0.8559782608695652,"[[9, 9], [11, 63]]","{'NON_SIF_POTENTIAL': 20, 'SIF_POTENTIAL': 72}",0.6499999999999999,0.75,5,0.05434782608695652,0.9456521739130435,19,68,10
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.7,63,9,9,11,0.875,0.8513513513513513,0.5,0.6756756756756757,0.863013698630137,0.8559782608695652,"[[9, 9], [11, 63]]","{'NON_SIF_POTENTIAL': 20, 'SIF_POTENTIAL': 72}",0.6,0.7999999999999999,6,0.06521739130434782,0.9347826086956522,19,67,10
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,59,9,9,15,0.8676470588235294,0.7972972972972973,0.5,0.6486486486486487,0.8309859154929577,0.8104395604395603,"[[9, 9], [15, 59]]","{'NON_SIF_POTENTIAL': 24, 'SIF_POTENTIAL': 68}",0.6999999999999997,0.7999999999999998,5,0.05434782608695652,0.9456521739130435,20,67,11
setfit_saved_train_only,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,59,9,9,15,0.8676470588235294,0.7972972972972973,0.5,0.6486486486486487,0.8309859154929577,0.8104395604395603,"[[9, 9], [15, 59]]","{'NON_SIF_POTENTIAL': 24, 'SIF_POTENTIAL': 68}",0.6499999999999998,0.8499999999999998,7,0.07608695652173914,0.9239130434782609,19,66,10
