model,threshold,precision,recall,false_negative_rate,f1,f2
tfidf_word_12,0.2,0.8111111111111111,1.0,0.0,0.8957055214723927,0.9554973821989529
tfidf_word_12,0.25,0.8111111111111111,1.0,0.0,0.8957055214723927,0.9554973821989529
tfidf_word_12,0.3,0.8111111111111111,1.0,0.0,0.8957055214723927,0.9554973821989529
tfidf_word_12,0.35,0.8111111111111111,1.0,0.0,0.8957055214723927,0.9554973821989529
tfidf_word_12,0.4,0.8181818181818182,0.9863013698630136,0.0136986301369863,0.8944099378881988,0.9473684210526315
tfidf_word_12,0.45,0.8372093023255814,0.9863013698630136,0.0136986301369863,0.9056603773584906,0.9523809523809524
tfidf_word_12,0.5,0.8554216867469879,0.9726027397260274,0.0273972602739726,0.9102564102564102,0.9466666666666667
tfidf_word_12,0.55,0.927536231884058,0.8767123287671232,0.1232876712328767,0.9014084507042254,0.8864265927977839
tfidf_word_12,0.6,0.9629629629629629,0.7123287671232876,0.2876712328767123,0.8188976377952756,0.7514450867052024
tfidf_word_12,0.65,1.0,0.5205479452054794,0.4794520547945205,0.6846846846846847,0.5757575757575757
tfidf_word_12,0.7,1.0,0.2054794520547945,0.7945205479452054,0.3409090909090909,0.24429967426710092
tfidf_word_12,0.75,1.0,0.0410958904109589,0.958904109589041,0.07894736842105263,0.05084745762711865
tfidf_word_12,0.8,0.0,0.0,1.0,0.0,0.0
tfidf_word_12_char_35,0.2,0.8111111111111111,1.0,0.0,0.8957055214723927,0.9554973821989529
tfidf_word_12_char_35,0.25,0.8202247191011236,1.0,0.0,0.9012345679012346,0.9580052493438319
tfidf_word_12_char_35,0.3,0.8295454545454546,1.0,0.0,0.906832298136646,0.9605263157894738
tfidf_word_12_char_35,0.35,0.8372093023255814,0.9863013698630136,0.0136986301369863,0.9056603773584906,0.9523809523809524
tfidf_word_12_char_35,0.4,0.8571428571428571,0.9863013698630136,0.0136986301369863,0.9171974522292994,0.9574468085106383
tfidf_word_12_char_35,0.45,0.8536585365853658,0.958904109589041,0.0410958904109589,0.9032258064516129,0.9358288770053476
tfidf_word_12_char_35,0.5,0.8831168831168831,0.9315068493150684,0.0684931506849315,0.9066666666666666,0.9214092140921409
tfidf_word_12_char_35,0.55,0.9054054054054054,0.9178082191780822,0.0821917808219178,0.9115646258503401,0.9153005464480876
tfidf_word_12_char_35,0.6,0.9402985074626866,0.863013698630137,0.136986301369863,0.9,0.8774373259052924
tfidf_word_12_char_35,0.65,0.9814814814814815,0.726027397260274,0.273972602739726,0.8346456692913385,0.7658959537572254
tfidf_word_12_char_35,0.7,1.0,0.6438356164383562,0.3561643835616438,0.7833333333333333,0.6932153392330382
tfidf_word_12_char_35,0.75,1.0,0.4657534246575342,0.5342465753424658,0.6355140186915887,0.5214723926380368
tfidf_word_12_char_35,0.8,1.0,0.2602739726027397,0.7397260273972602,0.41304347826086957,0.3054662379421222
embedding_logreg,0.2,0.8295454545454546,1.0,0.0,0.906832298136646,0.9605263157894738
embedding_logreg,0.25,0.8275862068965517,0.9863013698630136,0.0136986301369863,0.9,0.9498680738786279
embedding_logreg,0.3,0.8333333333333334,0.958904109589041,0.0410958904109589,0.89171974522293,0.9308510638297873
embedding_logreg,0.35,0.875,0.958904109589041,0.0410958904109589,0.9150326797385621,0.9408602150537634
embedding_logreg,0.4,0.8933333333333333,0.9178082191780822,0.0821917808219178,0.9054054054054054,0.9128065395095368
embedding_logreg,0.45,0.9054054054054054,0.9178082191780822,0.0821917808219178,0.9115646258503401,0.9153005464480876
embedding_logreg,0.5,0.9420289855072463,0.8904109589041096,0.1095890410958904,0.9154929577464789,0.9002770083102491
embedding_logreg,0.55,0.9516129032258065,0.8082191780821918,0.1917808219178082,0.8740740740740741,0.8333333333333333
embedding_logreg,0.6,0.9629629629629629,0.7123287671232876,0.2876712328767123,0.8188976377952756,0.7514450867052024
embedding_logreg,0.65,1.0,0.6164383561643836,0.3835616438356164,0.7627118644067796,0.6676557863501484
embedding_logreg,0.7,1.0,0.4931506849315068,0.5068493150684932,0.6605504587155964,0.5487804878048781
embedding_logreg,0.75,1.0,0.3424657534246575,0.6575342465753424,0.5102040816326531,0.3943217665615142
embedding_logreg,0.8,1.0,0.1780821917808219,0.821917808219178,0.3023255813953488,0.21311475409836064
