checkpoint,model_family,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,155,16,41,20,0.9064327485380117,0.8857142857142857,0.7192982456140351,0.8025062656641604,0.8959537572254336,0.8897818599311137,"[[41, 16], [20, 155]]","{'NON_SIF_POTENTIAL': 61, 'SIF_POTENTIAL': 171}",0.44999999999999996,0.6499999999999999,17,0.07327586206896551,0.9267241379310345,50,165,16
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,153,16,41,22,0.9053254437869822,0.8742857142857143,0.7192982456140351,0.7967919799498747,0.8895348837209303,0.8803222094361334,"[[41, 16], [22, 153]]","{'NON_SIF_POTENTIAL': 63, 'SIF_POTENTIAL': 169}",0.5499999999999998,0.6499999999999999,6,0.02586206896551724,0.9741379310344828,61,165,20
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,153,16,41,22,0.9053254437869822,0.8742857142857143,0.7192982456140351,0.7967919799498747,0.8895348837209303,0.8803222094361334,"[[41, 16], [22, 153]]","{'NON_SIF_POTENTIAL': 63, 'SIF_POTENTIAL': 169}",0.4999999999999999,0.6999999999999998,16,0.06896551724137931,0.9310344827586207,56,160,18
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,150,15,42,25,0.9090909090909091,0.8571428571428571,0.7368421052631579,0.7969924812030075,0.8823529411764706,0.8670520231213872,"[[42, 15], [25, 150]]","{'NON_SIF_POTENTIAL': 67, 'SIF_POTENTIAL': 165}",0.5999999999999999,0.7,9,0.03879310344827586,0.9612068965517241,63,160,22
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,150,15,42,25,0.9090909090909091,0.8571428571428571,0.7368421052631579,0.7969924812030075,0.8823529411764706,0.8670520231213872,"[[42, 15], [25, 150]]","{'NON_SIF_POTENTIAL': 67, 'SIF_POTENTIAL': 165}",0.5499999999999999,0.7499999999999999,15,0.06465517241379311,0.9353448275862069,61,156,20
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7,146,14,43,29,0.9125,0.8342857142857143,0.7543859649122807,0.7943358395989975,0.8716417910447761,0.8488372093023256,"[[43, 14], [29, 146]]","{'NON_SIF_POTENTIAL': 72, 'SIF_POTENTIAL': 160}",0.6499999999999999,0.75,9,0.03879310344827586,0.9612068965517241,67,156,25
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7,146,14,43,29,0.9125,0.8342857142857143,0.7543859649122807,0.7943358395989975,0.8716417910447761,0.8488372093023256,"[[43, 14], [29, 146]]","{'NON_SIF_POTENTIAL': 72, 'SIF_POTENTIAL': 160}",0.6,0.7999999999999999,18,0.07758620689655173,0.9224137931034483,63,151,22
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,144,12,45,31,0.9230769230769231,0.8228571428571428,0.7894736842105263,0.8061654135338345,0.8700906344410876,0.8411214953271028,"[[45, 12], [31, 144]]","{'NON_SIF_POTENTIAL': 76, 'SIF_POTENTIAL': 156}",0.6999999999999997,0.7999999999999998,9,0.03879310344827586,0.9612068965517241,72,151,29
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,144,12,45,31,0.9230769230769231,0.8228571428571428,0.7894736842105263,0.8061654135338345,0.8700906344410876,0.8411214953271028,"[[45, 12], [31, 144]]","{'NON_SIF_POTENTIAL': 76, 'SIF_POTENTIAL': 156}",0.6499999999999998,0.8499999999999998,20,0.08620689655172414,0.9137931034482759,67,145,25
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7999999999999998,139,12,45,36,0.9205298013245033,0.7942857142857143,0.7894736842105263,0.7918796992481203,0.852760736196319,0.8166862514688602,"[[45, 12], [36, 139]]","{'NON_SIF_POTENTIAL': 81, 'SIF_POTENTIAL': 151}",0.7499999999999998,0.8499999999999999,11,0.04741379310344827,0.9525862068965517,76,145,31
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.7999999999999998,139,12,45,36,0.9205298013245033,0.7942857142857143,0.7894736842105263,0.7918796992481203,0.852760736196319,0.8166862514688602,"[[45, 12], [36, 139]]","{'NON_SIF_POTENTIAL': 81, 'SIF_POTENTIAL': 151}",0.6999999999999998,0.8999999999999998,22,0.09482758620689655,0.9051724137931034,72,138,29
