checkpoint,model_family,c,class_weight,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,175,57,0,0,0.7543103448275862,1.0,0.0,0.5,0.85995085995086,0.9388412017167381,"[[0, 57], [0, 175]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 232}",0.44999999999999996,0.6499999999999999,3,0.01293103448275862,0.9870689655172413,0,229,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,175,56,1,0,0.7575757575757576,1.0,0.017543859649122806,0.5087719298245614,0.8620689655172413,0.9398496240601504,"[[1, 56], [0, 175]]","{'NON_SIF_POTENTIAL': 1, 'SIF_POTENTIAL': 231}",0.5499999999999998,0.6499999999999999,3,0.01293103448275862,0.9870689655172413,0,229,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,175,56,1,0,0.7575757575757576,1.0,0.017543859649122806,0.5087719298245614,0.8620689655172413,0.9398496240601504,"[[1, 56], [0, 175]]","{'NON_SIF_POTENTIAL': 1, 'SIF_POTENTIAL': 231}",0.4999999999999999,0.6999999999999998,10,0.04310344827586207,0.9568965517241379,0,222,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,173,56,1,2,0.7554585152838428,0.9885714285714285,0.017543859649122806,0.5030576441102756,0.8564356435643564,0.9311087190527447,"[[1, 56], [2, 173]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 229}",0.5999999999999999,0.7,9,0.03879310344827586,0.9612068965517241,1,222,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,173,56,1,2,0.7554585152838428,0.9885714285714285,0.017543859649122806,0.5030576441102756,0.8564356435643564,0.9311087190527447,"[[1, 56], [2, 173]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 229}",0.5499999999999999,0.7499999999999999,26,0.11206896551724138,0.8879310344827587,0,206,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7,173,49,8,2,0.7792792792792793,0.9885714285714285,0.14035087719298245,0.5644611528822054,0.871536523929471,0.9381778741865511,"[[8, 49], [2, 173]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 222}",0.6499999999999999,0.75,23,0.09913793103448276,0.9008620689655172,3,206,2
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7,173,49,8,2,0.7792792792792793,0.9885714285714285,0.14035087719298245,0.5644611528822054,0.871536523929471,0.9381778741865511,"[[8, 49], [2, 173]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 222}",0.6,0.7999999999999999,88,0.3793103448275862,0.6206896551724138,1,143,0
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,167,39,18,8,0.8106796116504854,0.9542857142857143,0.3157894736842105,0.6350375939849624,0.8766404199475065,0.9216335540838854,"[[18, 39], [8, 167]]","{'NON_SIF_POTENTIAL': 26, 'SIF_POTENTIAL': 206}",0.6999999999999997,0.7999999999999998,79,0.34051724137931033,0.6594827586206896,10,143,2
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7499999999999998,167,39,18,8,0.8106796116504854,0.9542857142857143,0.3157894736842105,0.6350375939849624,0.8766404199475065,0.9216335540838854,"[[18, 39], [8, 167]]","{'NON_SIF_POTENTIAL': 26, 'SIF_POTENTIAL': 206}",0.6499999999999998,0.8499999999999998,172,0.7413793103448276,0.25862068965517243,3,57,2
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7999999999999998,131,12,45,44,0.916083916083916,0.7485714285714286,0.7894736842105263,0.7690225563909774,0.8238993710691824,0.7769869513641756,"[[45, 12], [44, 131]]","{'NON_SIF_POTENTIAL': 89, 'SIF_POTENTIAL': 143}",0.7499999999999998,0.8499999999999999,149,0.6422413793103449,0.3577586206896552,26,57,8
existing_only,tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7999999999999998,131,12,45,44,0.916083916083916,0.7485714285714286,0.7894736842105263,0.7690225563909774,0.8238993710691824,0.7769869513641756,"[[45, 12], [44, 131]]","{'NON_SIF_POTENTIAL': 89, 'SIF_POTENTIAL': 143}",0.6999999999999998,0.8999999999999998,221,0.9525862068965517,0.04741379310344827,10,1,2
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.2,175,57,0,0,0.7543103448275862,1.0,0.0,0.5,0.85995085995086,0.9388412017167381,"[[0, 57], [0, 175]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 232}",0.15000000000000002,0.25,0,0.0,1.0,0,232,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.2,175,57,0,0,0.7543103448275862,1.0,0.0,0.5,0.85995085995086,0.9388412017167381,"[[0, 57], [0, 175]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 232}",0.1,0.30000000000000004,1,0.004310344827586207,0.9956896551724138,0,231,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.25,175,57,0,0,0.7543103448275862,1.0,0.0,0.5,0.85995085995086,0.9388412017167381,"[[0, 57], [0, 175]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 232}",0.2,0.3,1,0.004310344827586207,0.9956896551724138,0,231,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.25,175,57,0,0,0.7543103448275862,1.0,0.0,0.5,0.85995085995086,0.9388412017167381,"[[0, 57], [0, 175]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 232}",0.15,0.35,3,0.01293103448275862,0.9870689655172413,0,229,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.3,175,56,1,0,0.7575757575757576,1.0,0.017543859649122806,0.5087719298245614,0.8620689655172413,0.9398496240601504,"[[1, 56], [0, 175]]","{'NON_SIF_POTENTIAL': 1, 'SIF_POTENTIAL': 231}",0.25,0.35,3,0.01293103448275862,0.9870689655172413,0,229,0
